SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE,DATE
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-19
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-20
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-21
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-22
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-23
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-24
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-25
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-26
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-27
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-28
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-29
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-30
GAZP,TQBR,ГАЗПРОМ ао,137.84,10,5,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.66,SUR,2025-01-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.1,SUR,1,1,2025-01-27,2023-12-31
